"","a1-3","CuLFCFe","p1-4","a1","a2-3","Cu","LFCFe","Fe","p1","p2-4"
"bam",1.09289154099833,20.2279281474148,2.46497488101051,34.0415136097804,5.1163069282181,11.8257538172027,78.533335340275,8.31400110447819,90.0208319723906,20.2676433830963
"baz",5582.84112870087,10455.4988588713,8669.90618362258,2657.58521051444,4894.12386916387,8729.6281974641,5493.89033190011,5445.43495909095,2668.07313657007,5494.57599861823
"bcd",3.46565396408374,43.8017271893244,1.81916931713135,22.9917000208166,0.637460417581212,11.3634076177254,110.770319698843,12.0943191459437,179.704395643837,35.4001969229726
"ben",3014.60567520707,3608.90267612695,2974.33487622001,2056.40887574413,2425.92739593424,3694.20269900821,2789.21092939999,4663.09581662539,3207.37304962814,3110.15800470419
"bi",1.57835258008443,1.47933954067465,3.30510660334913,0,1.14081844613535,0.254958958084075,3.18504153602324,1.01751337851819,1.13662965543277,2.23339886095815
"bib",60.1247162033844,112.475661677364,200.306194250665,96.3313069041868,124.162049003059,85.6555486208662,148.592352471462,192.686018380279,160.356107526907,161.792893561051
"bic",5700.38457592786,6195.61570893836,5711.69694652532,6124.51777087298,5830.94264051325,7094.90950123115,5747.98894063325,5463.47098433744,5350.73665587729,6165.68242211387
"BicC",0,0,0,0,0,0,0,0,0,0
"BicD",3264.18191024935,2953.74788378962,2697.689628767,2365.03738873763,2944.03479039106,2676.96543660658,2794.16227007185,2740.6793184489,3003.21428058924,2486.0555235774
"boss",0,0.91125233281786,0,0.690053056500372,3.36371593767672,0.137457301540017,0.952247950980516,1.64481274134807,0.664657740956565,0.54550639745005
"br",19.7502366781599,22.3184430785815,33.2681113351661,42.5423892165972,34.2071815898974,34.7649877964795,27.5725907392056,63.9307509729715,71.6599192136138,44.3369646351122
"brm",1232.57149468428,1126.86149411397,1435.45969817749,1012.54198967629,1059.16755469309,1056.26666199902,1078.85201830662,1286.78262390855,1346.86624352528,1059.02433375756
